BGVDDNB;119;149;27;M;1;78;178;
HBC3OYK;119;149;23;M;1;78;178;
1NDPQ4Y;119;149;30;M;1;81;180;
IV6ZMY4;119;149;21;M;1;80;180;
3GXDQET;119;149;21;M;1;76;170;
0SZZJUV;119;149;22;M;1;65;174;
1F6XI0Y;119;149;24;M;1;85;173;
F0VYRPY;119;149;31;F;1;61;170;
BT9EEAF;119;149;21;M;1;63;170;
YC8U79G;119;149;31;M;1;93;178;
V46VWUN;119;149;22;M;1;;170;
NZ66AOT;119;149;21;M;1;71;182;
6D12X8T;119;149;20;M;1;95;178;
ORM23WA;119;149;20;M;1;58;170;
3OF2MLZ;119;149;;M;1;;;
WB52QUL;119;149;27;M;1;;178;
MU8HR8X;119;149;22;M;1;65;177;
BXF8187;119;149;24;M;1;90;173;
KNP1A4H;119;149;24;M;1;85;176;
A5RG8JQ;119;149;21;M;1;108;193
W78T3SZ;119;149;;M;1;;;
DCFZ1ST;119;149;19;M;1;140,194;
DVWJD71;119;149;;M;1;;;
AZP2RWJ;119;149;18;M;1;59;160;
BOQW7WK;119;149;18;M;1;80;193;
LVF89V2;119;149;23;M;2;105;190;
V7A1BPX;119;149;33;F;1;74;170;
KFCDU4R;119;149;;M;1;;;
2XUNTVA;119;149;29;M;1;60;160;
NHWHB1Q;119;149;26;F;1;55;155;
I6Y91LI;119;149;22;M;1;81;173;
M40IF31;119;149;21;M;1;77;187;
9YCY6MM;119;149;21;M;1;95;175;
ODWWXBA;119;149;22;M;1;70;184;
IL12CKO;119;149;;M;2;;;
E75RBPR;119;149;19;M;1;65;176;
C5JDZ6Z;119;149;25;M;1;86;175;
LPLFEXG;119;149;;F;1;;;
GEU92TC;119;149;23;M;1;75;179;
9L29SWS;119;149;19;M;1;84;180;
ZM2SZ37;119;149;;M;1;86;181;
JO8E4N8;119;149;18;M;1;60;178;
53YB3E4;119;149;19;M;1;74;;
KPMCARJ;119;149;19;M;2;88;175;
FSR3KAP;119;149;21;M;1;89;182;
FBJD796;119;149;;M;1;;;
2S1OM9A;119;149;;M;1;;;
FB4ROYZ;119;149;;M;1;;;
P2I0ULH;119;149;;M;1;;;
JLIW41O;119;149;;M;1;;;
YY0GT8J;119;149;;M;1;;;
BLISIVP;119;149;30;M;1;84;180;
VCKLSSO;119;149;;M;1;;;
5HNLC4F;119;149;;M;1;;;
OYPM3Z3;119;149;;M;1;;;
6BPKZTY;119;149;;F;1;;;
C08T4TU;119;149;;M;1;;;
II25TSA;119;149;;M;2;;;
ID736DM;119;149;;F;1;;;
RVWU3VV;119;149;;M;1;;;
MOAG13V;119;149;;M;1;;;
TPWW74Y;119;149;;M;1;;;
899KJDR;119;149;
